Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Evergreen Lawn,Greater Rosemont,19259,21217,36379.8,921.0
Franklintown Road,Greater Rosemont,19259,21217,36379.8,921.0
Mosher,Greater Rosemont,19259,21217,36379.8,921.0
Northwest Community Action,Greater Rosemont,19259,21217,36379.8,921.0
Rosemont,Greater Rosemont,19259,21217,36379.8,921.0
Rosemont Homewoners/Tenants,Greater Rosemont,19259,21217,36379.8,921.0
Winchester,Greater Rosemont,19259,21217,36379.8,921.0
Hampden,Medfield/Hampden/Woodberry/Remington,17388,21217,68526.0,921.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,17388,21217,68526.0,921.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,17388,21217,68526.0,921.0
Medfield,Medfield/Hampden/Woodberry/Remington,17388,21217,68526.0,921.0
Remington,Medfield/Hampden/Woodberry/Remington,17388,21217,68526.0,921.0
Woodberry,Medfield/Hampden/Woodberry/Remington,17388,21217,68526.0,921.0
Wyman Park,Medfield/Hampden/Woodberry/Remington,17388,21217,68526.0,921.0
Bolton Hill,Midtown,15020,21217,52477.2,921.0
Charles North,Midtown,15020,21217,52477.2,921.0
Greenmount West,Midtown,15020,21217,52477.2,921.0
Mid-Town Belvedere,Midtown,15020,21217,52477.2,921.0
Mount Vernon,Midtown,15020,21217,52477.2,921.0
Druid Hill Park,Penn North/Reservoir Hill,9668,21217,35011.5,921.0
Parkview/Woodbrook,Penn North/Reservoir Hill,9668,21217,35011.5,921.0
Penn North,Penn North/Reservoir Hill,9668,21217,35011.5,921.0
Reservoir Hill,Penn North/Reservoir Hill,9668,21217,35011.5,921.0
Easterwood,Sandtown-Winchester/Harlem Park,14896,21217,25972.5,921.0
Harlem Park,Sandtown-Winchester/Harlem Park,14896,21217,25972.5,921.0
Midtown-Edmondson,Sandtown-Winchester/Harlem Park,14896,21217,25972.5,921.0
Sandtown-Winchester,Sandtown-Winchester/Harlem Park,14896,21217,25972.5,921.0
Druid Heights,Upton/Druid Heights,10342,21217,21359.0,921.0
Heritage Crossing,Upton/Druid Heights,10342,21217,21359.0,921.0
Madison Park,Upton/Druid Heights,10342,21217,21359.0,921.0
Upton,Upton/Druid Heights,10342,21217,21359.0,921.0
Belair-Edison,Belair-Edison,17416,21218,42633.6,1302.0
Clifton Park,Belair-Edison,17416,21218,42633.6,1302.0
Four By Four,Belair-Edison,17416,21218,42633.6,1302.0
Herring Run Park,Belair-Edison,17416,21218,42633.6,1302.0
Mayfield,Belair-Edison,17416,21218,42633.6,1302.0
Abell,Greater Charles Village/Barclay,16391,21218,42852.5,1302.0
Barclay,Greater Charles Village/Barclay,16391,21218,42852.5,1302.0
Charles Village,Greater Charles Village/Barclay,16391,21218,42852.5,1302.0
Harwood,Greater Charles Village/Barclay,16391,21218,42852.5,1302.0
Johns Hopkins Homewood,Greater Charles Village/Barclay,16391,21218,42852.5,1302.0
Oakenshawe,Greater Charles Village/Barclay,16391,21218,42852.5,1302.0
Old Goucher,Greater Charles Village/Barclay,16391,21218,42852.5,1302.0
Kenilworth Park,Greater Govans,10681,21218,42666.8,1302.0
Pen Lucy,Greater Govans,10681,21218,42666.8,1302.0
Richnor Springs,Greater Govans,10681,21218,42666.8,1302.0
Wilson Park,Greater Govans,10681,21218,42666.8,1302.0
Winston-Govans,Greater Govans,10681,21218,42666.8,1302.0
Woodbourne-McCabe,Greater Govans,10681,21218,42666.8,1302.0
Wrenlane,Greater Govans,10681,21218,42666.8,1302.0
Coldstream Homestead Montebello,Midway/Coldstream,9624,21218,34520.1,1302.0
East Baltimore Midway,Midway/Coldstream,9624,21218,34520.1,1302.0
Sabina-Mattfeldt,N. Baltimore/Guilford/Homeland,5168,21218,84848.1,1302.0
Bellona-Gittings,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Blythewood,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Cedarcroft,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Guilford,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Homeland,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Kernewood,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Lake Evesham,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Loyola/Notre Dame,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Radnor-Winston,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Rosebank,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
The Orchards,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Tuscany-Canterbury,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Villages Of Homeland,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
York-Homeland,North Baltimore/Guilford/Homeland,17464,21218,98094.9,1302.0
Hillen,Northwood,16643,21218,56197.2,1302.0
Montebello,Northwood,16643,21218,56197.2,1302.0
Morgan State University,Northwood,16643,21218,56197.2,1302.0
New Northwood,Northwood,16643,21218,56197.2,1302.0
Original Northwood,Northwood,16643,21218,56197.2,1302.0
Perring Loch,Northwood,16643,21218,56197.2,1302.0
Stonewood-Pentwood-Winston,Northwood,16643,21218,56197.2,1302.0
Better Waverly,The Waverlies,7753,21218,38569.1,1302.0
Ednor Gardens-Lakeside,The Waverlies,7753,21218,38569.1,1302.0
Waverly,The Waverlies,7753,21218,38569.1,1302.0
Canton Industrial Area,Southeastern,6260,21222,36666.3,2084.0
Dundalk Marine Terminal,Southeastern,6260,21222,36666.3,2084.0
Graceland Park,Southeastern,6260,21222,36666.3,2084.0
Holabird Industrial Park,Southeastern,6260,21222,36666.3,2084.0
Medford,Southeastern,6260,21222,36666.3,2084.0
O'Donnell Heights,Southeastern,6260,21222,36666.3,2084.0
Saint Helena,Southeastern,6260,21222,36666.3,2084.0
Spring Garden Industrial Area,Southeastern,6260,21222,36666.3,2084.0
Allendale,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Carroll-South Hilton,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Gwynns Falls,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Irvington,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Lower Edmondson Village,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Saint Josephs,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Uplands,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Yale Heights,Allendale/Irvington/South Hilton,16217,21223,38535.6,790.0
Bridgeview/Greenlawn,Greater Rosemont,19259,21223,36379.8,790.0
Coppin Heights/Ash-Co-East,Greater Rosemont,19259,21223,36379.8,790.0
Evergreen Lawn,Greater Rosemont,19259,21223,36379.8,790.0
Franklintown Road,Greater Rosemont,19259,21223,36379.8,790.0
Mosher,Greater Rosemont,19259,21223,36379.8,790.0
Northwest Community Action,Greater Rosemont,19259,21223,36379.8,790.0
Rosemont,Greater Rosemont,19259,21223,36379.8,790.0
Rosemont Homewoners/Tenants,Greater Rosemont,19259,21223,36379.8,790.0
Winchester,Greater Rosemont,19259,21223,36379.8,790.0
Hollins Market,Poppleton/The Terraces/Hollins Market,5086,21223,20365.8,790.0
Poppleton,Poppleton/The Terraces/Hollins Market,5086,21223,20365.8,790.0
Easterwood,Sandtown-Winchester/Harlem Park,14896,21223,25972.5,790.0
Harlem Park,Sandtown-Winchester/Harlem Park,14896,21223,25972.5,790.0
Midtown-Edmondson,Sandtown-Winchester/Harlem Park,14896,21223,25972.5,790.0
Sandtown-Winchester,Sandtown-Winchester/Harlem Park,14896,21223,25972.5,790.0
Booth-Boyd,Southwest Baltimore,17885,21223,28149.5,790.0
